Method,Power,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
importance_estimate_per_node_method,0,5,33468114.3,0.3296001434326172,1986125518427294.0,22.2763597698357,"341295.0, 15811675.0, 2531241.0, 3795044.0, 133913246.0, 22793288.0, 9207304.0, 2559716.0, 37140018.0, 12056415.0, 80174.0, 845362.0, 133230454.0, 3742941.0, 604234.0, 59957137.0, 108138570.0, 3255434.0, 81583559.0, 59546169.0"
importance_estimate_per_node_method,0,100,27373908.0,2.6859631896018983,79562707176171.7,18.220059171794556,"41031362.0, 29608030.0, 45505686.0, 35542786.0, 29968420.0, 28520156.0, 27935188.0, 15273609.0, 20338626.0, 30497549.0, 42993953.0, 22747789.0, 24052972.0, 36533603.0, 20994328.0, 36220297.0, 9908848.0, 25673206.0, 31989122.0, 22190730.0"
importance_estimate_per_node_method,1,5,27628132.65,0.5144163846969605,356811688251683.9,18.389270968879895,"19392799.0, 1700831.0, 31407547.0, 45210910.0, 44155210.0, 15393170.0, 5906307.0, 24516361.0, 24491028.0, 46807743.0, 24797804.0, 3219155.0, 17234078.0, 65276481.0, 36755739.0, 67481594.0, 45877068.0, 5682038.0, 18206681.0, 39098209.0"
importance_estimate_per_node_method,1,100,27504234.4,45.12781833410263,23342356095438.637,18.306804357014254,"30114777.0, 28767895.0, 24652954.0, 19449654.0, 27260142.0, 25021334.0, 35236336.0, 21781745.0, 31617340.0, 23962871.0, 25240792.0, 38249854.0, 29269680.0, 35372634.0, 27857448.0, 36158610.0, 30753888.0, 30443590.0, 32186442.0, 26734802.0"
importance_estimate_per_node_method,1.5,5,29830174.8,4.111278676986695,174914327012161.7,19.854949098279093,"26380788.0, 16627915.0, 33793945.0, 10808080.0, 44578495.0, 46068789.0, 10972917.0, 36483793.0, 25388306.0, 28299430.0, 30704026.0, 31262863.0, 21284672.0, 49451017.0, 27117384.0, 36068431.0, 38600464.0, 30602128.0, 16190807.0, 65967346.0"
importance_estimate_per_node_method,1.5,100,29731852.05,117.97015217542648,8501706556314.448,19.789505526139756,"25108764.0, 33758934.0, 29873271.0, 36040012.0, 29339015.0, 31999127.0, 34230183.0, 29495616.0, 33151055.0, 28245340.0, 30704927.0, 35022673.0, 31234927.0, 28316000.0, 31375558.0, 33459891.0, 31115825.0, 33371396.0, 25351245.0, 33491382.0"
importance_estimate_per_node_method,0,500,28078969.9,16.10885534286499,20170063147636.69,18.68934801202073,"37359320.0, 27826296.0, 28121194.0, 21659999.0, 27554383.0, 25227987.0, 28981375.0, 30473313.0, 31607618.0, 29516301.0, 29869772.0, 30269608.0, 23452827.0, 31259695.0, 35358256.0, 24007418.0, 23337741.0, 35266772.0, 36959879.0, 33517744.0"
importance_estimate_per_node_method,1,500,28653876.1,473.21401497125623,2481202763312.19,19.072005284859944,"33378948.0, 29179817.0, 30918506.0, 27473705.0, 28390143.0, 31951151.0, 31521426.0, 31262791.0, 28615547.0, 31236304.0, 29204636.0, 31023128.0, 29127875.0, 31661206.0, 28512916.0, 31525146.0, 29863423.0, 28488800.0, 28316776.0, 31473378.0"
importance_estimate_per_node_method,0,1000,28313702.35,46.09352239370346,7283503662657.128,18.845585810750094,"28082697.0, 34218699.0, 27231680.0, 29842401.0, 28529741.0, 35034416.0, 33531321.0, 29838253.0, 26604946.0, 29632860.0, 26728135.0, 33395966.0, 31705049.0, 30786908.0, 28650432.0, 31834890.0, 30303900.0, 28329019.0, 25953457.0, 26087377.0"
