Method,Standard Deviation,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
importance_estimate_per_node_method,500,500,99005.55,0.004289841651916504,21219481966.047504,0.06141745398601746,"1640853.0, 1675808.0, 1787153.0, 1637417.0, 1729058.0, 1418748.0, 1618025.0, 1834371.0, 1641136.0, 1561375.0, 1596564.0, 1503333.0, 1674227.0, 1585591.0, 1666823.0, 1677293.0, 1125790.0, 1502154.0, 1714377.0, 1649185.0"
importance_estimate_per_node_method,500,1000,40915.6,0.004741644859313965,3641655931.0,0.02538172840118858,"1610703.0, 1596945.0, 1664393.0, 1720801.0, 1608142.0, 1607924.0, 1605904.0, 1704741.0, 1591308.0, 1512156.0, 1693510.0, 1616993.0, 1597191.0, 1605691.0, 1664035.0, 1615093.0, 1447151.0, 1642024.0, 1652766.0, 1596949.0"
importance_estimate_per_node_method,500,2000,92080.45,0.005802631378173828,15670032782.627506,0.05712151289384061,"1695937.0, 1531147.0, 1772378.0, 1550814.0, 1658764.0, 1546865.0, 1614622.0, 1708823.0, 1586332.0, 1630281.0, 1721190.0, 1503050.0, 1675893.0, 2014889.0, 1531816.0, 1399403.0, 1531130.0, 1561487.0, 1695059.0, 1604183.0"
importance_estimate_per_node_method,500,3000,72949.1,0.0059810996055603026,10722126405.09,0.04525350339017749,"1617305.0, 1692553.0, 1655387.0, 1545564.0, 1585356.0, 1540649.0, 1626146.0, 1742176.0, 1455195.0, 1630496.0, 1610859.0, 1529393.0, 1492306.0, 1649403.0, 1238198.0, 1607399.0, 1550222.0, 1570933.0, 1681774.0, 1558224.0"
importance_estimate_per_node_method,500,4000,71095.8,0.006226682662963867,7648605111.040001,0.04410382069590139,"1515809.0, 1474676.0, 1733406.0, 1582802.0, 1653711.0, 1637440.0, 1613069.0, 1532042.0, 1671886.0, 1327950.0, 1595764.0, 1525569.0, 1522621.0, 1564827.0, 1601430.0, 1607808.0, 1622192.0, 1596059.0, 1519622.0, 1438889.0"
importance_estimate_per_node_method,1000,5,813253.75,0.0042804360389709474,2684653053474.927,0.5044967152809225,"1615979.0, 5357222.0, 1541207.0, 1951785.0, 1670848.0, 1591847.0, 1657930.0, 1653968.0, 814526.0, 1258623.0, 1698441.0, 1099882.0, 1741493.0, 1177511.0, 6138588.0, 1805159.0, -2649845.0, 1687704.0, 1823356.0, 1968413.0"
importance_estimate_per_node_method,1000,100,308805.05,0.004382789134979248,122380820480.32748,0.19156521981873562,"1740206.0, 1207167.0, 2117374.0, 1151477.0, 1355405.0, 1079027.0, 1607218.0, 1499637.0, 918147.0, 1415386.0, 1247488.0, 1724695.0, 1828250.0, 1134092.0, 1355522.0, 1568714.0, 2130343.0, 1870647.0, 1450688.0, 2082494.0"
importance_estimate_per_node_method,1000,500,212611.25,0.004647409915924073,87408486446.8475,0.13189201679890325,"1777141.0, 1473630.0, 1887291.0, 1501463.0, 1598310.0, 1193596.0, 1498821.0, 2565208.0, 1481223.0, 1379891.0, 1671397.0, 1650623.0, 1959113.0, 1486449.0, 1654029.0, 1178230.0, 1453339.0, 1764433.0, 1723013.0, 1379091.0"
importance_estimate_per_node_method,1000,1000,155256.2,0.004753983020782471,40013170096.46001,0.09631218168621783,"1565425.0, 1497411.0, 1461897.0, 1596700.0, 1904929.0, 1333621.0, 1480892.0, 1426618.0, 2036597.0, 1856576.0, 1601405.0, 1775629.0, 1532877.0, 1597983.0, 1610593.0, 1908392.0, 1708671.0, 1568371.0, 2066250.0, 1550187.0"
importance_estimate_per_node_method,1000,2000,112449.85,0.005491089820861816,23110157720.2875,0.06975753872494586,"1574079.0, 1555692.0, 1499870.0, 1631488.0, 1321155.0, 1367301.0, 1721166.0, 1597824.0, 1803288.0, 1595673.0, 1546997.0, 1640982.0, 1532248.0, 1393165.0, 1613710.0, 1667693.0, 1953920.0, 1871974.0, 1532240.0, 1587020.0"
importance_estimate_per_node_method,1000,3000,178209.65,0.006691598892211914,60783485633.947495,0.11055120625802568,"1485537.0, 1785605.0, 1699995.0, 1614886.0, 1285438.0, 1773781.0, 2383505.0, 1537337.0, 1715546.0, 1753527.0, 1678458.0, 1668778.0, 1717883.0, 1511850.0, 1485252.0, 1406286.0, 2240941.0, 1567408.0, 1737806.0, 1744650.0"
