Method,Noise Scale,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
estimate_variance_reduction_multiplicative_noise,0.01,5,5973.6202371369,0.0045092225074768065,112837471.19695766,0.0036172958084549366,"1652119.6688362127, 1645876.337061914, 1656975.3382313373, 1648943.3271117595, 1639646.5020816543, 1651426.9728113413, 1644668.2870172367, 1653701.3553378682, 1648218.2765163586, 1651320.4625754647, 1648812.9586918624, 1650797.2468341172, 1651679.4183097219, 1638521.8895387345, 1664334.1076386457, 1657229.9002583993, 1609232.2000158597, 1653609.4251854115, 1652603.6650193313, 1649575.013817887"
estimate_variance_reduction_multiplicative_noise,0.01,100,2414.218632327521,0.003838837146759033,8433352.538220303,0.0014619117038262657,"1658157.6291245443, 1650528.107955061, 1656834.2017706258, 1651982.6667594975, 1650775.254803865, 1650113.016204647, 1650450.6289621834, 1647522.1757757396, 1655608.6318178736, 1652061.0616654612, 1650739.56224413, 1653588.9055407427, 1650432.3631220816, 1652933.3707628788, 1653259.482748947, 1653841.2258029338, 1657954.3862222668, 1652605.0070626484, 1647466.2054454696, 1652376.1178813076"
estimate_variance_reduction_multiplicative_noise,0.01,500,1026.477423072327,0.003938436508178711,1419222.1841931387,0.0006215338203470943,"1653004.4408125842, 1650297.4209022403, 1649395.299945811, 1652867.2066770243, 1651724.6254127787, 1651204.3341301514, 1651776.847541895, 1650976.535986035, 1650816.6589431905, 1650749.575004243, 1651619.7414161824, 1651039.7733738534, 1653063.9198885986, 1654336.8024763928, 1650067.776067217, 1651857.8498830788, 1652334.8040164623, 1653019.9559501447, 1652808.8372549454, 1651185.8576903415"
estimate_variance_reduction_multiplicative_noise,0.01,1000,674.1431682123919,0.0041194319725036625,975042.8352909442,0.00040814435677701195,"1648937.2402596052, 1652316.9659698138, 1651275.8725660397, 1652727.0756376463, 1651662.2446666851, 1651335.0853012472, 1652460.2860711087, 1652531.172294028, 1652548.9586323777, 1651177.9930749123, 1651442.956479272, 1651020.6857805268, 1651866.9848773123, 1651015.671327086, 1652046.902319865, 1651065.3724217846, 1654105.5482582664, 1651415.866443714, 1652407.4449079316, 1651735.651822347"
estimate_variance_reduction_multiplicative_noise,0.01,2000,474.6112766594044,0.004517102241516113,509920.4522962094,0.0002873837378375349,"1651036.6948104093, 1650712.5033881606, 1651919.6928417159, 1651953.6186797128, 1650472.9676715846, 1650681.5782217057, 1651427.481896737, 1651686.938990211, 1651048.3190349117, 1650937.683677165, 1652687.611053801, 1651871.2491629636, 1651318.1793822628, 1650653.5860521866, 1650184.9308406888, 1652549.6517286636, 1650834.4637963723, 1651148.931337745, 1651987.018282621, 1652521.8011099547"
estimate_variance_reduction_multiplicative_noise,0.01,3000,364.05258090639256,0.00515134334564209,307755.6484474947,0.00022042432292572532,"1651555.9528606674, 1651792.8530582197, 1651386.7658977525, 1651444.4722092717, 1652183.062402216, 1652362.406291372, 1651064.8803788975, 1651104.0259985977, 1650545.2932684615, 1651099.8516828779, 1652309.7876456631, 1652408.4317032294, 1651881.241053228, 1652704.045253805, 1651765.252351072, 1651427.1232544724, 1651291.3665555243, 1651427.1777863128, 1652227.6744154927, 1651093.6858909607"
estimate_variance_reduction_multiplicative_noise,0.01,4000,336.61426541877444,0.004621481895446778,170229.91334833397,0.0002038386510857531,"1651712.1214999252, 1650838.308524888, 1650929.797447362, 1651693.6131629979, 1651603.015968278, 1652284.6903908513, 1651581.6071273433, 1650909.9912233741, 1651651.0790833554, 1651762.1194847168, 1651045.3862000285, 1651623.684645368, 1651275.8594359087, 1651834.058255582, 1651422.7029943357, 1651459.552396274, 1651613.9954754214, 1651385.5566161682, 1650428.3924623516, 1651244.9105706785"
estimate_variance_reduction_multiplicative_noise,0.1,5,52904.54963964771,0.003797149658203125,8172416709.237291,0.032037423752252756,"1749683.6222444754, 1607062.7191782303, 1640343.8287382526, 1640108.0191662044, 1642505.7551835384, 1661326.2837963777, 1671322.8184223287, 1636734.5596383333, 1440580.45045312, 1628845.7402718354, 1572453.4707064405, 1653966.4927805196, 1616128.904249579, 1610760.7373098673, 1661092.932967048, 1631389.2129433819, 1952547.1182559005, 1588064.063026097, 1684142.7284610244, 1617216.54326984"
estimate_variance_reduction_multiplicative_noise,0.1,100,20158.49913560054,0.004530131816864014,720200718.3945725,0.012209795483332193,"1637872.097358296, 1607077.5100266708, 1622370.4820711531, 1663531.2919249635, 1634441.041276973, 1657877.9000871924, 1712249.6647353007, 1657764.6111645515, 1662649.9239317381, 1640083.5894930223, 1672898.4523313697, 1615304.552664158, 1681909.1682840267, 1710036.9126099783, 1659351.1195803282, 1628457.0978737164, 1659077.853713044, 1664567.7786487995, 1648093.7007376023, 1641710.62279769"
estimate_variance_reduction_multiplicative_noise,0.1,500,8204.124953992665,0.004024672508239746,106556617.75799525,0.004974401352919751,"1657213.4436742498, 1655497.2432499232, 1670825.432352555, 1651817.7416724644, 1631579.9609687699, 1659103.0074583169, 1656852.0374009646, 1665770.5130918743, 1645481.0711282305, 1655065.368174484, 1636737.6147922308, 1640822.8559545558, 1630699.818657221, 1653750.9985939022, 1658834.2974914638, 1651035.6278699916, 1662448.0909679576, 1653022.8958360052, 1646449.1510258624, 1650014.4704874458"
