Method,Standard Deviation,Sample Size,Avg Error,Avg Time,Variance,Avg Percent Error,Estimates
importance_estimate_per_node_method,500,500,134355.95,0.011382699012756348,28300187403.127502,2.78192707470598,"-358806.0, -47959.0, -180031.0, -144286.0, 104966.0, -58355.0, 493440.0, -114735.0, 137638.0, -99822.0, -158118.0, 25603.0, 49297.0, -42311.0, -97358.0, 133141.0, 48719.0, 147902.0, 26976.0, -33038.0"
importance_estimate_per_node_method,500,1000,81492.9,0.014943170547485351,7420188743.660001,1.687363342719894,"-75938.0, 64106.0, -49378.0, 51730.0, 23573.0, -14196.0, 180475.0, -79436.0, -54877.0, 24955.0, 27181.0, 92469.0, -18971.0, 37636.0, -36042.0, -62232.0, -125511.0, -16760.0, 146777.0, -191345.0"
importance_estimate_per_node_method,500,2000,50621.4,0.01172466278076172,3535164593.8,1.0481489150240184,"129089.0, -31195.0, -107034.0, -43627.0, 49645.0, 36267.0, 131022.0, -60292.0, 44384.0, 48034.0, 45101.0, -22556.0, -22242.0, 4452.0, 80835.0, -26626.0, -8434.0, 57661.0, 30828.0, 64868.0"
importance_estimate_per_node_method,500,3000,46944.45,0.010658073425292968,2899427597.4474998,0.9720152807685937,"61418.0, 22480.0, 85429.0, 156222.0, 104802.0, -33349.0, -71863.0, 13805.0, 16202.0, -60803.0, 43993.0, 14637.0, 10584.0, 29309.0, 56561.0, -7619.0, 103833.0, 12063.0, 12771.0, 13534.0"
importance_estimate_per_node_method,500,4000,44331.05,0.008646237850189208,2330938857.3475,0.9179031389763125,"-29100.0, 94219.0, 5369.0, 12027.0, 28342.0, 10390.0, 26476.0, 45103.0, 33474.0, -7844.0, -45902.0, 99830.0, -33230.0, -103688.0, 24109.0, 36634.0, 13854.0, 66085.0, 29432.0, 92381.0"
importance_estimate_per_node_method,1000,5,1470861.8,0.007713055610656739,7902646760448.341,30.45514742421733,"-12347.0, 272088.0, -1019105.0, -26894.0, -2221436.0, -88073.0, 63968.0, -47159.0, -29120.0, 5807675.0, -283075.0, -518360.0, 8674232.0, 65127.0, -1232974.0, 178232.0, 1853597.0, -326004.0, 273691.0, -6230895.0"
importance_estimate_per_node_method,1000,100,397310.9,0.007410883903503418,282984007951.16003,8.226579840980616,"-533107.0, -323871.0, -145895.0, 599227.0, -207435.0, 166284.0, -32513.0, 257540.0, -27785.0, -365087.0, -183423.0, -584588.0, -1012033.0, -232416.0, 1006962.0, 1421985.0, -113026.0, 291166.0, 87892.0, 160799.0"
importance_estimate_per_node_method,1000,500,209256.0,0.008185636997222901,76810110511.65,4.3327811827066425,"48145.0, 170607.0, -4694.0, -128033.0, 219810.0, -592602.0, -53624.0, -16778.0, 447596.0, 154077.0, -89742.0, 9221.0, 400911.0, -683625.0, 109697.0, -14546.0, -137192.0, 353829.0, -173957.0, -201390.0"
importance_estimate_per_node_method,1000,1000,164238.7,0.008339369297027588,32841870732.24,3.4006687924465795,"92649.0, 152366.0, -136031.0, -331028.0, 208168.0, -7914.0, 210143.0, 289825.0, -256137.0, -229401.0, 30955.0, -188628.0, -12975.0, -82890.0, -55415.0, -56654.0, 22942.0, 43317.0, -190337.0, -398467.0"
importance_estimate_per_node_method,1000,2000,141771.05,0.00887528657913208,26542730849.3875,2.9354615289050856,"-61070.0, 2439.0, 51144.0, -124130.0, 164921.0, 307272.0, 214737.0, 244739.0, -31497.0, -101208.0, -24907.0, 6670.0, 344688.0, -174421.0, 251500.0, 209857.0, -159877.0, -18176.0, 298334.0, 34540.0"
